species,X1...2,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52
Cynorkis perrieri,3647,16,4,3,3,19.246,1.033,47.429,0.723,0,17.339968641599018,12.608791371186573,64.3166773362504,254.42599139211714,26.3174991607666,6.546750068664551,19.605374813079834,19.817041397094727,14.027291615804037,19.817041397094727,13.843416531880697,1428,306,17,95.30986263535767,826.5,59.5,826.5,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5,1,1,1,1,1,1
Cynorkis peyrotii,15662,36,9,9,9,19.69,2.84,48.07,1.178,0,19.315635561943054,11.819353977839151,63.304610301274046,259.0319340629742,28.086750030517578,9.375249862670898,18.581250190734863,22.03458372751872,17.185250123341877,22.04800017674764,15.973166783650717,1814,325,49,71.22066048009802,911,175,907,234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,1,1,1,1,1
Cynorkis pinguicularioides,0,8,2,2,2,24.819,0.335,46.871,0.187,0,20.752279539903004,10.724170168240864,60.8229010059614,250.14859468252337,29.532958984375,11.891375064849854,17.641583919525146,23.483895858128868,18.4662291208903,23.603527784347534,17.548333168029785,1070.5,171.5,30.5,56.93117909742957,487,119,459,154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,1,1,1,1
Cynorkis pleistadenia,49278,76,20,11,14,5.266,4.718,37.536,1.386,0,21.09149471918742,10.424895763397217,69.16802425386354,166.16412710716145,28.03487491607666,12.917999744415283,14.95574951171875,22.080728928248085,19.468250036239624,22.882187366485596,18.762166500091553,1391,271,13.5,77.11429780767273,625,54.5,465,55.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,1,1,1,1,1
Cynorkis pseudorolfei,0,8,2,2,2,24.452,0.214,47.172,0.069,0,21.320277492205303,10.160159190495808,60.548484462726535,240.34778523947318,29.71134662628174,12.925699234008789,16.78564739227295,23.94681374231974,19.057118097941082,24.00168879826864,18.188054402669273,1539.5,260,42,61.81685414590849,707.5,171,699.5,205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,1,1,1,1,1
Cynorkis purpurea,32484,56,16,11,12,20.298,2.373,47.16,1.952,0,18.201531251271568,11.086427172025045,62.34765103984502,252.51246366829628,26.517000198364258,8.67300033569336,17.716000080108643,20.912749926249184,14.790229320526123,20.912749926249184,14.626416683197021,1378,301,12.5,96.78411003277756,820,39.5,820,39.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,1,1,1,1,1
Cynorkis quinqueloba,6868,12,3,3,3,22.556,3.03,47.1,0.54,0,17.92841672897339,10.836625258127848,62.44723921584877,245.61955714637844,26.598249435424805,7.994750022888184,17.353249549865723,20.600374857584637,14.859750111897787,20.600374857584637,14.344791730244955,1293,269,30,77.37223715153316,748,116,748,132,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,1,1,1,1
Cynorkis rolfei,0,4,1,1,1,19.333,0,48.983,0,0,23.62905748685201,9.211911042531332,62.11190517068244,217.0114137855845,31.2426700592041,16.411518096923828,14.831151962280273,26.126046816507976,22.873298327128094,26.126046816507976,20.962608973185223,2944,477,82,48.16280481099186,1247,348,1247,496,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Cynorkis rungweensis,170102,40,10,8,9,4.441,7.342,30.149,5.081,0,17.07810950279236,10.144708315531412,85.31058929132863,46.43747508628871,22.734999656677246,10.50724983215332,11.891499519348145,17.051083405812584,16.77706241607666,17.523354291915894,16.596833388010662,1473,217,7.5,60.04733189093857,586,49.5,353.5,147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5,1,1,1,1,1,1
Cynorkis sacculata,0,8,2,2,2,20.422,0.55,46.772,0.441,0,16.43332815170288,11.90246868133545,63.625530366041446,260.8755188366631,25.145999908447266,6.452250003814697,18.69374990463257,19.076166709264122,12.836937427520752,19.076166709264122,12.836937427520752,1359.5,297,11,97.49360041758865,807.5,36.5,807.5,36.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,1,1,1,1
Cynorkis sambiranoensis,13535,20,5,5,5,17.524,3.879,45.493,3.228,0,24.09963544209798,13.822458744049072,71.31508034731442,162.47175951979432,32.85850143432617,14.460000038146973,19.092501640319824,25.32062530517578,22.09808349609375,25.479458491007488,22.09808349609375,1384,354,2,111.76728546414894,904,12,752,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,1,1,1,1
Cynorkis stolonifera,54732,32,14,6,6,17.322,7.526,48.151,2.283,0,19.500229318936665,12.115458567937216,63.75493732799436,265.3287672570086,28.436750411987305,9.375249862670898,19.061500549316406,22.27583376566569,17.325375080108643,22.27583376566569,16.051666736602783,1407,309,14,91.56732854835136,867,47,816,52.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,1,1,1,1,1,1
Cynorkis sylvatica,0,4,1,1,1,13.778,0,48.992,0,0,19.713593641916912,10.600812276204428,71.01532819293627,158.40063734673197,27.289749145507813,12.362250328063965,14.927498817443848,21.02887471516927,17.66016658147176,21.492999871571858,17.66016658147176,1499,330,12,104.01499110744727,912,37,670,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,1,1,1,1
Cynorkis tenerrima,5171,16,4,4,4,18.599,1.271,47.401,0.6,0,18.322020779053368,12.876166601975758,69.07914717592675,217.53772641706314,27.167874336242676,7.854625225067139,18.757874488830566,20.65024987856547,15.063729087511698,20.661479075749718,15.004895806312561,1503,350.5,8,104.79873637408059,911.5,26,869,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,1,1,1,1
Cynorkis tristis,0,4,1,1,1,14.267,0,48.933,0,0,18.588187336921692,13.32462477684021,71.13769986326803,197.88630654376976,27.412750244140625,8.682000160217285,18.73075008392334,20.596749782562256,16.01712481180827,20.596749782562256,15.921499888102213,1428,306,11,102.48490896544995,874,40,874,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,1,1,1,1
Cynorkis uncata,57389,92,27,17,21,5.321,3.778,38.027,1.302,0,21.56358317534129,10.31377092997233,67.99758237316777,166.01598255763733,28.831499099731445,14.054750442504883,14.852500915527344,22.15166664123535,19.406708240509033,23.43104139963786,19.260666688283283,973,205,14,69.8406036272031,474,55,264,57,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,1,1,1,1
Cynorkis zaratananae,0,8,2,2,2,14.118,0.267,48.887,0.084,0,18.388255079587303,12.257281064987183,70.58555281122555,184.35460831899607,26.80074977874756,9.446374893188477,17.354374885559082,20.31404153505961,16.002229054768883,20.359291553497314,15.954416592915852,1423.5,309.5,10.5,104.36741676788589,874,35.5,759,41.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,1,1,1,1,1
Cypripedium arietinum,1947189,608,161,95,120,46.211,6.408,-82.536,32.184,1,5.668645900984605,9.909041717648506,25.309463011186836,1007.3955890477233,22.60325050354004,-14.94474983215332,37.8772497177124,16.62862491607666,-5.57741663356622,17.579874833424885,-6.646541674931844,805,98,39,25.793435807857055,263,132,249,158,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,28,1,1,1,1,1,1
Cypripedium bardolphianum,151491,28,7,7,7,30.791,6.272,101.522,5.776,1,3.023916645674035,10.628187527259191,35.87555433576845,696.9549567664699,17.524499893188477,-12.797249794006348,29.97849941253662,9.856416702270508,-6.260333383766313,11.446541706720987,-6.260333383766313,746,126,5,76.9315004508295,347,23,341,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,1,1,1,1,1,1
Cypripedium calcicola,0,4,2,1,1,28.555,0,99.822,0,1,4.452999892334144,11.52145828306675,40.929530992679105,617.7042852721207,18.438499450683594,-9.711000442504883,28.149499893188477,11.604749838511148,-2.3197500904401145,11.604749838511148,-3.362500170866648,649,137,5,80.38545496178621,344,23,344,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,1,1,1,1,1
Cypripedium californicum,219567,344,92,23,50,41.027,3.898,-123.107,3.339,1,11.08474994224768,12.80762493610382,47.367667490515615,531.6770158289924,24.395374298095703,-2.0864999294281006,27.03874945640564,6.56872915228208,17.78937514623006,18.428916613260906,6.206895830730597,1394.5,259,9,79.27491296694467,730.5,57,65,685.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,17,1,1,1,1,1,1
Cypripedium candidum,2213978,648,166,97,128,43.924,10.518,-91.475,14.582,1,7.858890681217114,11.34133337934812,26.29622468331334,1092.685017715342,26.638875007629395,-15.125749588012695,41.75924873352051,20.256645917892456,-6.282374886174996,20.81891632080078,-6.282374886174996,834,102.5,28,38.176530735995264,286.5,101.5,282.5,101.5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,40,1,1,1,1,1,1
Cypripedium cordigerum,193452,20,5,5,5,30.588,7.126,81.606,15.961,1,7.617843687534332,11.680229187011719,41.48154829599321,625.6839709556418,23.72024917602539,-5.210500240325928,28.015499114990234,16.5384578704834,4.031625032424927,17.01866642634074,0.4846666653951009,1105,232,11,62.97234783273981,519,67,515,141,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,30,1,1,1,1,1,1
Cypripedium debile,1286987,60,16,11,12,26.696,6.26,112.488,19.972,1,10.68092692643404,9.210104356209436,39.3053358993097,465.1872777139241,20.704750061035156,0.15675000846385956,21.486249446868896,15.578916390736898,6.1652917464574175,15.578916390736898,4.696416765451431,2156,368,54,65.2049653153762,1018,185,918,185,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,28,1,1,1,1,1,1
Cypripedium elegans,169945,12,3,3,3,27.87,6.022,95.613,10.9,1,11.569437446072698,10.731666521479687,42.86965031283076,493.9237822533521,23.743999481201172,-1.2892500162124634,25.033249497413635,17.194416681925457,5.867499974866708,17.194416681925457,5.148250030974547,789,138,10,80.64224576601029,365,45,365,56,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,1,1,1,1,1,1
Cypripedium fargesii,125494,20,5,5,5,28.86,4.653,102.596,3.039,1,15.059770825008552,8.925708209474882,33.31264912556301,645.2494895638889,27.24899959564209,1.365250051021576,27.270999550819397,21.446916659673057,6.887166629234949,21.80020833015442,6.887166629234949,1040.5,223,13.5,90.19780831142803,598.5,49,584.5,49,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1,1,1,1,1
Cypripedium farreri,0,8,2,2,2,26.148,0.551,99.137,0.503,1,12.068947918713093,9.484937493999798,40.0439369268424,476.4566957514256,23.632375717163086,-0.10474991798400879,23.737125635147095,17.449833552042644,6.652604063351949,17.449833552042644,5.814499979217848,1102.5,186,15.5,63.43636404399844,517.5,68.5,517.5,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.5,0,1,1,1,1,1
Cypripedium fasciculatum,800580,268,72,32,47,41.65,7.833,-111.326,15.348,1,3.024338546053817,12.706145947022984,39.75197235600399,723.6566861815472,19.873374938964844,-13.075249671936035,31.417250633239746,1.1324374278386435,1.5756666262944539,12.941062609354654,-5.871458406249682,636,70,31,19.24521601876967,194,114,137,142,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,17,1,1,1,1,1,1
Cypripedium fasciolatum,1304,12,3,3,3,29.906,0.296,102.742,0.898,1,15.447197990491986,10.0935211678346,36.994963370727596,645.8985632474204,28.407249450683594,0.15675000846385956,27.283500909805298,22.150208314259846,6.836041755974293,22.778000195821125,6.836041755974293,1277,292,17,90.49601087929082,732,56,725,56,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34,1,1,1,1,1,1
Cypripedium flavum,644148,180,46,41,43,29.536,6.485,101.619,5.863,1,5.831583339100082,10.554145839686196,38.7535170326969,634.1165269321693,19.291000366210937,-7.806874990463257,27.695124626159668,12.326520840326946,-1.6094374855359395,12.5716876188914,-1.6761458118756611,805,146,6.5,78.01102031167872,387.5,27.5,387.5,28.5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,28,1,1,1,1,1,1
Cypripedium formosanum,8736,64,16,7,11,24.024,1.922,121.232,0.737,1,10.68092692643404,8.608479087551435,42.24657546268994,442.64199157494966,20.704750061035156,0.328000009059906,20.228750318288803,15.578916390736898,6.303916638096173,15.578916390736898,4.836166714628537,3133,429,69,54.467223954223385,1229.5,254.5,1220.5,362,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,1,1,1,1,1
Cypripedium forrestii,0,4,1,1,1,27.823,0,99.706,0,1,4.873239564398925,10.223979180057844,37.648020931892496,609.9038235758601,18.34950065612793,-8.807250022888184,27.156750679016113,11.919208288192749,-1.8524583180745442,11.919208288192749,-2.830874959627787,717,135,8,67.80151164341967,340,37,340,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,0,1,1,1,1,1
Cypripedium franchetii,423961,56,14,13,14,32.121,7.3,103.867,7.781,1,7.741645882527034,10.74362503256028,35.87555433576845,721.7548705583115,22.416000366210937,-7.674749851226807,30.373499870300293,15.87416664759318,-1.3664166529973347,15.939125378926596,-1.3664166529973347,733,134,5,77.64231637191364,365,21,338,21,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,28,1,1,1,1,1,1
