species	tot_occ	uni_occ	mean_lat	mean_lon	lat_range	lon_range	lat_hemisphere	eoo	aoo	1	2	7	10	13	3	4	5	6	11	98	8	12	9	14	99	bio1	bio4	bio11	bio12	bio15	bio17	range_bio1	range_bio4	range_bio11	range_bio12	range_bio15	range_bio17	humanfootprint_1993_1	humanfootprint_1993_2	humanfootprint_1993_3	humanfootprint_1993_4	humanfootprint_2009_1	humanfootprint_2009_2	humanfootprint_2009_3	humanfootprint_2009_4
Anacamptis boryi	1.0791812	1.0791812	0.4012777778	 0.135500000	5.850883e-01	0.3719171397	1	4.52952791	1.6532125	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	 1.13333333	3.724194	  6.86666667	2.959995	1.9294189	1.1760913	 2.7333333	2.8524800	 2.96666667	2.7122287	1.2041200	1.3521825	0.00	0.00	0.30	0.70	0.00	0.00	0.30	0.70
Anacamptis palustris	2.6222140	2.6222140	0.5232444444	 0.030633333	1.168513e+00	1.3184844799	1	6.58209543	3.2140487	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	 0.70000000	3.765072	  1.86666667	2.860937	1.1760913	2.1717265	 4.7333333	3.3448342	 5.33333333	2.7368744	1.4337698	2.2041200	0.00	0.02	0.09	0.88	0.00	0.04	0.13	0.83
Anacamptis sancta	1.7403627	1.7403627	0.4094000000	 0.153483333	7.946445e-01	1.0726042491	1	5.52008936	2.3283796	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	 1.15000000	3.718377	  7.13333333	2.811240	1.9294189	0.9030900	 2.4466667	3.1058507	 3.03000000	2.6813769	1.4224257	1.3560259	0.00	0.02	0.35	0.63	0.00	0.04	0.31	0.65
Anathallis minutalis	0.4771213	0.4771213	0.2193666667	-0.569483333	1.360893e-01	0.3911539646	1	0.95424251	0.9542425	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	 1.01333333	3.326848	  8.13333333	3.022222	2.0086002	1.4313638	 0.7200000	2.4781334	 0.48000000	2.1306553	0.6627578	0.8061800	0.00	0.00	0.50	0.50	0.00	0.00	0.50	0.50
Ancistrochilus thomsonianus	1.0413927	1.0413927	0.0279555556	 0.054805556	8.476578e-01	0.5467209097	1	4.79526127	1.5682017	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.52666667	2.898176	 14.56666667	3.421768	1.7671559	2.2201081	 3.9466667	2.5443161	 4.01333333	2.9810027	1.1789769	2.2591158	0.30	0.20	0.30	0.20	0.30	0.10	0.40	0.20
Ancistrorhynchus crystalensis	0.9542425	0.9542425	0.0097777778	 0.055194444	4.373787e-01	0.4698867873	1	4.57867636	1.5185139	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.62333333	2.961658	 15.40000000	3.384174	1.8228216	1.7242759	 1.3700000	2.2512731	 1.28000000	2.6126779	1.0000000	2.2232363	0.75	0.12	0.12	0.00	0.75	0.12	0.12	0.00
Ancistrorhynchus laxiflorus	1.0000000	1.0000000	0.0876444444	 0.203983333	4.798171e-01	0.4663633683	0	4.25349773	1.5185139	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.52000000	3.231215	 13.40000000	3.149835	1.9684829	1.3617278	 3.9066667	2.5533975	 3.58666667	2.7745170	1.4593925	1.7291648	0.11	0.44	0.44	0.00	0.00	0.33	0.33	0.33
Ancistrorhynchus parviflorus	0.3010300	0.3010300	0.0566666667	 0.214627778	0.000000e+00	0.0000000000	0	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.48666667	3.239800	 13.33333333	3.160469	1.7923917	2.3180633	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00
Ancistrorhynchus refractus	0.7781513	0.7781513	0.0546666667	 0.214127778	1.912721e-01	0.1161625965	0	2.30921483	1.3222193	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.48666667	3.239800	 13.33333333	3.160469	1.7923917	2.3180633	 3.3600000	1.7435098	 3.41333333	2.7646244	1.1139434	2.1731863	0.00	0.00	0.60	0.40	0.00	0.00	0.60	0.40
Ancistrorhynchus serratus	1.1760913	1.1760913	0.0575444444	 0.054244444	5.260723e-01	0.3585525153	1	4.08381834	1.7242759	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.36666667	2.947679	 12.80000000	3.421604	1.8388491	2.0086002	 5.4000000	2.3284815	 5.29000000	3.0173464	1.2878017	2.1791207	0.00	0.00	0.79	0.21	0.00	0.00	0.86	0.14
Ancistrorhynchus tenuicaulis	1.3010300	1.3010300	0.0198444444	 0.132916667	1.098060e+00	1.4548160585	0	6.46602704	1.8388491	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.48666667	2.895975	 13.40000000	3.210853	1.7634280	1.9912261	 6.1400000	3.2096758	 5.61333333	3.0221396	1.7267272	2.3218055	0.16	0.32	0.26	0.26	0.11	0.32	0.42	0.16
Angraecopsis cryptantha	0.3010300	0.3010300	0.0458888889	 0.050944444	0.000000e+00	0.0000000000	1	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.48666667	2.903090	 14.06666667	3.468200	1.8260748	2.1367206	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00
Angraecopsis lisowskii	0.7781513	0.7781513	0.0689777778	 0.056416667	8.149133e-02	0.2145683544	1	2.91804712	1.3222193	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.31333333	2.988113	 12.13333333	3.320769	1.8633229	1.7781513	 3.6400000	1.8633229	 3.69333333	2.4119562	0.5797836	1.2695129	0.00	0.00	0.40	0.60	0.00	0.00	0.80	0.20
Angraecopsis parva	0.6989700	0.6989700	0.1066111111	 0.191894444	4.981313e-01	0.3837265239	0	3.03241325	1.2304489	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.14000000	3.251760	  9.53333333	3.139092	1.9754318	1.4313638	 1.2500000	2.6321028	 1.53666667	2.5766292	0.9469433	1.3502480	0.50	0.00	0.00	0.50	0.50	0.00	0.25	0.25
Angraecopsis tenerrima	1.1461280	1.1461280	0.0679333333	 0.208250000	8.091110e-01	0.6104472214	0	5.05269749	1.6901961	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.48666667	3.229682	 13.33333333	3.127429	1.9684829	1.9956352	 2.9466667	2.2533380	 2.96000000	2.9635990	1.6937269	2.2886963	0.15	0.08	0.15	0.62	0.00	0.23	0.62	0.15
Angraecopsis tridens	1.0000000	1.0000000	0.0634444444	 0.024838889	8.183737e-01	1.3785516031	1	5.22126861	1.5682017	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.43333333	2.964260	 13.40000000	3.468200	1.8573325	1.9395193	 4.5333333	2.8925398	 4.13333333	2.6772418	1.7573960	2.2610248	0.00	0.11	0.67	0.22	0.00	0.00	0.67	0.33
Angraecum alleizettei	0.6989700	0.6989700	0.2099777778	 0.266494444	4.781010e-02	0.1884981926	0	2.46465346	1.2304489	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.18000000	3.406199	  9.40000000	3.185825	1.9444827	1.9822712	 1.4166667	2.4038923	 1.19000000	2.4895366	1.2552725	1.8893017	0.00	0.25	0.25	0.50	0.00	0.25	0.25	0.50
Angraecum amplexicaule	0.4771213	0.4771213	0.2000888889	 0.273011111	7.508939e-01	0.3211902463	0	0.95424251	0.9542425	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.57000000	3.325926	 13.80000000	3.466794	1.6674530	2.4962375	 0.1800000	1.9758911	 0.24000000	2.6152133	0.5682017	0.7403627	0.00	0.00	0.50	0.50	0.00	0.00	0.00	1.00
Angraecum angustum	0.6989700	0.6989700	0.0317333333	 0.057700000	1.272927e-01	0.1687714092	1	3.11327335	1.1139434	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.61666667	2.885644	 15.36666667	3.348986	1.7708520	2.3201463	 1.5333333	1.9813655	 1.51333333	2.6730670	0.4771213	1.7693773	0.00	0.75	0.25	0.00	0.00	0.75	0.25	0.00
Angraecum ankeranense	1.2787536	1.2787536	0.2069333333	 0.268500000	2.702245e-01	0.2181073014	0	4.06622992	1.6532125	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.31333333	3.418964	 10.66666667	3.220370	1.9030900	2.1238516	 1.4733333	2.2819419	 1.48666667	2.3392526	1.2430380	1.8515641	0.00	0.83	0.06	0.11	0.00	0.72	0.17	0.11
Angraecum aporoides	1.5185139	1.5185139	0.0112555556	 0.087405556	8.947180e-01	1.3433243857	1	6.18942698	2.0211893	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.64666667	2.895699	 15.43333333	3.270096	1.7708520	2.2648178	 4.4300000	3.0090045	 4.09666667	3.1966045	1.6803355	2.5142820	0.03	0.33	0.30	0.33	0.03	0.33	0.33	0.30
Angraecum atlanticum	0.3010300	0.3010300	0.0288888889	 0.058794444	0.000000e+00	0.0000000000	0	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.66666667	3.127429	 15.26666667	3.248709	1.8692317	1.0000000	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
