Liparis ambohimangana	0.49			8.96							46.04	48.13						0.03								0.05	6.65			24.51						34.2					8.16		10.7		14.69						13.44					41.07				3.87					26.05	48.51	35.59																20.46																	48.39
Paphiopedilum bullenianum											34.24		23.79	33.47	5.1	48.3				43.46	5.08	29.31		6.88						16.65		17.15	41.06				28.98		36.35			33.72	39.84						21.59					28.86					17.07										5.34		4.85				29.59				17.8	45.58	20.37	21.54	17.9					28.31						23.36			5.03	41.72		
Paphiopedilum concolor				27.24		41.04	29.78		24.23				33.36			29.5	17.47	10.1				3.63		24.97					12.59			44.9																									8.66														27.81										16.5						42.09			44.59	13.93		29.34	23.7	49.43	10.15				
Paphiopedilum dianthum		2.02			31.08			34.22				41.32	32.89												13.0	32.7											23.79	27.6	24.21	3.37	26.52												44.2									21.63		25.34			44.44		13.34				11.62	39.86	9.43	1.92			41.31					45.71	49.9		25.23		26.96		6.63		26.74				41.27	39.95		35.36
Paphiopedilum emersonii	3.67	22.66	19.22	10.12	20.23	29.27	5.88		5.8	4.55		29.28		21.81	42.09		0.43	20.51		7.61	13.86	7.54		19.23	8.92	8.88		15.68	11.89	32.19	11.49		19.39	34.06	8.78	38.02	27.88	3.5	7.36	18.84	18.76	7.85	47.54		9.63	13.51	3.65	27.84			13.56	9.59		39.3	13.94	13.63	25.42	3.27	35.07	4.89		20.42		5.34		3.18		33.95	34.85	16.53		4.95	5.99	19.7		19.8	21.23	27.67	22.1		16.08				15.85		5.75	36.58	37.81	18.91	0.08	10.4	15.56	0.27	11.14	2.27	9.42	6.19	14.05	15.18
Paphiopedilum glanduliferum			43.16		15.85	4.74			4.1						3.19				4.01				14.53							44.56			34.5											38.38								23.06						10.27			2.92		5.47				37.56						6.12														45.29	28.94			44.59		35.24					27.84		
Paphiopedilum godefroyae	16.05			28.96						34.04		26.05				0.96									21.49					8.04								42.47	31.89					9.74			3.78		43.46		38.05		37.38	37.64		10.78								23.53									16.97						26.75				43.73	8.16				40.97					1.85							
Paphiopedilum gratrixianum	19.64	38.47		28.37			40.4	3.73	6.5	8.85		17.2	7.27		40.77		6.96		42.48		9.48				11.7		6.85	44.73		16.79	34.64	7.56	23.04	34.14		26.09	0.69		5.7	11.35	6.38		6.47	38.6	1.77	18.47	38.04	2.02	5.28		27.29	19.19	16.27	10.44	42.83		29.27	3.43	18.78	14.09		10.31	19.64		8.19	28.94	25.32	22.41	15.6	37.98	13.37	43.93	28.54	2.15	8.18		22.15	13.44	32.63	29.57	17.66	14.85	6.31		29.75	42.76		37.6	16.72	31.11	0.19	31.01	39.64		29.11	6.43		39.96	9.99	20.13
Paphiopedilum hangianum			8.77		8.38	1.98	3.93	2.94	22.57		41.41	14.77		14.16	48.46		43.33	2.61		32.55	16.94					16.97		10.32		15.01	3.78	28.01	5.96	25.93			7.21		15.01	0.6		28.72	16.7		24.38		18.21		12.15	0.09	6.96		38.78				11.56	1.48	19.93	10.86	3.58	11.43		44.88	31.82	15.07	38.79	7.08	11.34				44.65		16.03	49.45	18.06		9.7	27.19	23.61				1.19	6.66	20.36	40.27	0.53		22.29	4.05	28.98	5.77		47.02	2.06	10.62		1.45
Paphiopedilum haynaldianum						13.97				13.36								1.74						24.78			3.41														43.97			7.81			21.17	9.44				32.55	5.45											13.64					7.29	2.16		18.05					41.72	49.75	37.84											48.3	18.12									
Paphiopedilum helenae		11.23	36.75		4.73	2.42	18.95			11.82		40.99	7.88	37.93	36.55	14.76	43.38		15.24	24.68	35.2	36.79	16.57	32.17	24.64	4.84	29.17	15.58	44.88	0.84		1.38		6.81	4.42		30.48	27.86		17.19	3.95	35.44	7.57	32.19	16.06	30.17	10.21	21.66	32.45		23.67	11.77	3.2	4.3	27.59	41.29	1.32	5.51		6.41		36.3		44.69		6.79		43.11	3.88	19.08			24.95	13.69	1.7	25.71	13.29	8.53	22.74	21.66	5.9	41.95			4.29				12.21	16.95		3.33	36.33	3.76	3.04	43.42	2.48	7.35	16.61	22.92
