	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
728	Angraecum rubellum															CR						
729	Angraecum sambiranoense															EN						
730	Angraecum sanfordii				EN														EN			
731	Angraecum serpens															CR						
732	Angraecum setipes															EN				VU		
733	Angraecum spectabile																	DD				
734	Angraecum sterrophyllum															CR						
735	Angraecum subulatum														LC							
736	Angraecum tenellum													DD								
737	Angraecum triangulifolium																			EN		
738	Anguloa cliftonii													CR								
739	Anoectochilus koshunensis													DD								
740	Anoectochilus sandvicensis			VU																		
741	Anoectochilus zhejiangensis				EN																	
742	Ansellia africana													VU								
743	Aphyllanthes monspeliensis																	LC				
744	Appendicula calcarata														LC							
745	Appendicula fasciculata													DD								
746	Appendicula longirostrata													LC								
747	Appendicula negrosiana													DD								
748	Appendicula polyantha													DD								
749	Appendicula tenuispica													NT								
750	Arethusa bulbosa																	LC				
751	Aristea angustifolia																	VU				
752	Aristea cladocarpa																	LC				
753	Aristea kitchingii																	NT				
754	Ascoglossum calopterum				CR																	
755	Asparagus acutifolius																LC					
756	Asparagus aethiopicus													LC								
757	Asparagus aggregatus																LC					
758	Asparagus albus																		LC			
759	Asparagus aphyllus																LC					
760	Asparagus arborescens											VU										
761	Asparagus chimanimanensis																	LC				
762	Asparagus cochinchinensis																DD					
763	Asparagus dauricus																DD					
764	Asparagus fallax											EN										
765	Asparagus faulknerae									LC												
766	Asparagus filicinus																DD					
767	Asparagus humilis																				EN	
768	Asparagus kiusianus																EN					
769	Asparagus littoralis											DD										
770	Asparagus macowanii																LC					
771	Asparagus macrorrhizus																		CR			
772	Asparagus maritimus																DD					
773	Asparagus nesiotes											EN										
774	Asparagus officinalis																LC					
775	Asparagus oligoclonos																DD					
776	Asparagus plocamoides											VU										
777	Asparagus pseudoscaber											DD										
778	Asparagus schoberioides																LC					
779	Asparagus sekukuniensis																EN					
780	Asparagus sp. nov. A				DD																	
781	Asparagus squarrosus																	LC				
782	Asparagus tenuifolius																LC					
783	Asparagus umbellatus											LC										
784	Asparagus usambarensis									EN												
785	Asparagus verticillatus																LC					
786	Asphodeline tenuior														VU							
787	Asphodelus acaulis																		LC			
788	Asphodelus aestivus																		LC			
789	Asphodelus bento-rainhae											VU										
790	Asphodelus fistulosus													LC								
791	Astelia argyrocoma																EN					
792	Astelia waialealae			CR													CR					
793	Babiana longicollis				LC																	
794	Babiana salteri														VU							
795	Babiana scabrifolia														LC							
796	Babiana sinuata														LC							
797	Babiana socotrana				LC																	
798	Babiana striata														LC							
799	Barbosella geminata														NT							
800	Barkeria naevosa															LC						
801	Barombia gracillima																					NE
802	Bartholina etheliae				VU																	
803	Basiphyllaea corallicola															LC						
804	Beaucarnea goldmanii																				VU	
805	Beaucarnea gracilis																				EN	
806	Beaucarnea hiriartiae																				CR	
807	Beaucarnea olsonii																				EN	
808	Beaucarnea pliabilis																				VU	
809	Beaucarnea purpusii																				EN	
810	Beaucarnea recurvata																				CR	
811	Beaucarnea sanctomariana																				EN	
812	Beaucarnea stricta																				VU	
813	Bellevalia ciliata																		DD			
814	Bellevalia dubia																		LC			
815	Bellevalia hackelii											LC							LC			
816	Bellevalia hermonis																	LC				
817	Bellevalia nivalis																	LC				
818	Bellevalia pelagica																	CR				
819	Bellevalia warburgii																	EN				
820	Bellevalia webbiana											EN										
821	Benthamia calceolata																	EN				
822	Benthamia catatiana																	CR				
823	Benthamia cinnabarina													NT								
824	Benthamia dauphinensis															CR						
825	Benthamia elata															EN						
826	Benthamia glaberrima															NT						
827	Benthamia humbertii															EN						
828	Benthamia monophylla													NT	NT				NT			
829	Benthamia nigrescens															EN						
830	Benthamia nigro-vaginata															CR						
831	Benthamia nivea															EN						
832	Benthamia perularioides															VU						
833	Benthamia praecox															EN						
834	Benthamia procera															EN						
835	Benthamia rostrata															EN						
