Calopogon tuberosus
Dendrobium williamsianum
Dendrobium wisselense
Dendrochilum foxworthyi
Dendrochilum gracile
Angraecum compactum
Dendrochilum imitator
Dendrochilum loheri
Dendrochilum longipedicellatum
Angraecum cornucopiae
Dendrochilum tuberculatum
Angraecum coutrixii
Angraecum cribbianum
Didymoplexis africana
Angraecum curvipes
Angraecum danguyanum
Angraecum dendrobiopsis
Disa bodkinii
Angraecum distichum
Disa chimanimaniensis
Angraecum doratophyllum
Disa erubescens
Disa extinctoria
Angraecum egertonii
Disa thodei
Disa walleri
Disperis aphylla
Disperis bosseri
Disperis ciliata
Disperis egregia
Disperis elaphoceras
Disperis erucifera
Disperis kamerunensis
Disperis kerstenii
Disperis lanceolata
Disperis majungensis
Disperis masoalensis
Disperis mildbraedii
Disperis nitida
Angraecum gabonense
Diuris byronensis
Angraecum humbertii
Angraecum humblotianum
Dracula ripleyana
Dryadella minuscula
Angraecum mahavavense
Elleanthus oliganthus
Angraecum moratii
Angraecum obesum
Encyclia kingsii
Encyclia osmantha
Encyclia phoenicea
Encyclia spatella
Angraecum penzigianum
Epidendrum anthoceros
Angraecum perhumile
Angraecum peyrotii
Angraecum pinifolium
Angraecum podochiloides
Epidendrum capricornu
Angraecum potamophilum
Epidendrum carnevalii
Angraecum protensum
Angraecum pseudodidieri
Angraecum pseudofilicornu
Epidendrum cocoense
Epidendrum criniferum
Angraecum pungens
Angraecum pyriforme
Epidendrum diothonaeoides
Angraecum rigidifolium
Epidendrum geminiflorum
Angraecum rubellum
Epidendrum gentryi
Angraecum sambiranoense
Epidendrum hombersleyi
Angraecum sanfordii
Epidendrum insulanum
Angraecum serpens
Angraecum setipes
Angraecum sterrophyllum
Epidendrum microphyllum
Angraecum subulatum
Epidendrum oerstedii
Angraecum triangulifolium
Epidendrum proligerum
Epidendrum ramosum
Anguloa cliftonii
Epidendrum syringothyrsus
Epidendrum tigriphyllum
Epipactis albensis
Epipactis gigantea
Epipactis greuteri
Epipactis leptochila
Epipactis nordeniorum
Epipactis phyllanthes
Epipactis placentina
Epipactis troodi
Epipactis veratrifolia
Anoectochilus sandvicensis
Eria bidupensis
Eria carinata
Anoectochilus zhejiangensis
Ansellia africana
Erythrodes blumei
Erythrorchis altissima
Eulophia coddii
Eulophia fernandeziana
Eulophia filifolia
Eulophia grandidieri
Eulophia katangensis
Eulophia mangenotiana
Eulophia nervosa
Acianthera hondurensis
Eulophia ramosa
Eulophia reticulata
Eulophia speciosa
Galeottia fimbriata
Gastrochilus calceolaris
Gastrodia africana
Gastrodia elata
Gastrorchis tuberculosa
Appendicula calcarata
Genyorchis platybulbon
Geodorum recurvum
Glomera compressa
Glomera oligantha
Glomera uniflora
Gomesa sessilis
Gomesa silvana
Gonatostylis vieillardii
Gongora arcuata
Gongora portentosa
Goodyera flaccida
Goodyera macrophylla
Goodyera perrieri
Appendicula longirostrata
Graphorkis medemiae
Grosourdya quinquelobata
Gymnadenia crassinervis
Gymnadenia frivaldii
Gymnadenia rhellicani
Gymnadenia runei
Habenaria armatissima
Habenaria backeri
Habenaria batesii
Habenaria delavayi
Habenaria dusenii
Habenaria finetiana
Habenaria fordii
Habenaria glazioviana
Habenaria holotricha
Habenaria isoantha
Appendicula tenuispica
Habenaria jacobii
Habenaria jaegeri
Habenaria leptoloba
Habenaria leucoceras
Habenaria macrostele
Habenaria mairei
Habenaria maitlandii
Habenaria microceras
Habenaria monorrhiza
Habenaria mossii
Habenaria nigrescens
Habenaria obovata
Habenaria parviflora
Arethusa bulbosa
Habenaria plectromaniaca
Habenaria pleiophylla
Habenaria retroflexa
Habenaria richardsiae
Habenaria siamensis
Habenaria socotrana
Habenaria stylites
Habenaria supplicans
Habenaria thomana
Habenaria tianae
Habenaria tridactylites
Habenaria virens
Helonoma bifida
Hemipilia flabellata
Hemipilia forrestii
Hemipilia henryi
Hemipilia limprichtii
Herminium ophioglossoides
Hetaeria heterosepala
Hexalectris revoluta
Hexalectris warnockii
Himantoglossum adriaticum
Himantoglossum metlesicsianum
Holcoglossum quasipinifolium
Holothrix filicornis
Holothrix socotrana
Huntleya burtii
Huntleya vargasii
Isotria medeoloides
Jumellea anjouanensis
Jumellea stenophylla
Acianthera malachantha
Lankesterella gnomus
Leochilus leochilinus
Lepanthes binaria
Barbosella geminata
Lepanthes lindleyana
Lepanthes mucronata
Barkeria naevosa
Lepanthes prolifera
Bartholina etheliae
Lepanthes sinuosa
Basiphyllaea corallicola
Liparis ambohimangana
Liparis bautingensis
Liparis bulbophylloides
Liparis glaucescens
Liparis goodyeroides
Liparis henrici
Benthamia calceolata
Liparis longicaulis
Liparis longipetala
Benthamia elata
Liparis petelotii
Liparis philippinensis
Benthamia glaberrima
Liparis puncticulata
Benthamia humbertii
Liparis swenssonii
Benthamia monophylla
Lueddemannia pescatorei
Benthamia nigrescens
Benthamia nivea
Benthamia perularioides
Macradenia paraensis
Benthamia praecox
Benthamia procera
Benthamia rostrata
Malaxis bayardii
Malaxis brachystachys
Malaxis javesiae
Malaxis lepanthiflora
Malaxis muscifera
Malaxis wendtii
Masdevallia notosibirica
Masdevallia strumifera
Maxillaria angustisegmenta
Bletia ensifolia
Microcoelia bulbocalcarata
Myrmecophila thomsoniana
Mystacidium nguruense
Mystacidium pulchellum
Neobolusia ciliata
Neottia acuminata
Brachionidium dressleri
Cypripedium guttatum
Hammarbya paludosa
Neottia cordata
Platanthera tipuloides
Spiranthes sinensis
Thelymitra cyanea
Vanilla planifolia
Zeuxine strateumatica
